gender,educ,age,caruse,fast,unsafe,limit,offense,policy,contrib,limwar,accept,sig
0,2,37,7,4,17,21,10,23,17,11,29,4.653245926
0,6,74,7,4,13,19,14,26,18,7,26,4.653245926
0,4,36,19,4,12,16,14,19,18,7,24,4.653245926
0,4,71,10,5,9,21,13,NA,17,8,23,4.653245926
0,5,64,12,5,18,20,18,22,16,9,23,4.653245926
0,6,39,16,3,12,17,22,18,18,7,23,4.653245926
0,1,72,13,5,14,22,6,30,23,10,40,4.653245926
1,2,30,15,5,11,19,12,26,19,11,27,4.653245926
0,4,25,16,3,6,18,22,17,17,9,20,4.653245926
0,4,43,20,4,12,18,20,22,19,8,30,4.653245926
0,6,66,9,4,12,19,14,18,17,7,25,4.653245926
0,5,44,13,4,15,18,24,26,14,7,22,4.653245926
0,4,47,17,5,15,14,11,16,13,10,24,4.653245926
1,5,33,19,5,9,17,21,23,11,10,24,4.653245926
0,5,41,14,3,10,16,21,14,14,11,25,4.653245926
1,3,52,14,4,10,18,15,24,18,10,27,4.653245926
0,4,23,14,3,13,17,13,22,14,10,24,4.653245926
0,4,21,20,2,12,18,27,16,14,10,20,4.653245926
0,4,29,15,3,11,17,20,17,10,8,16,4.653245926
0,4,27,17,4,12,11,28,15,21,9,20,4.653245926
1,3,54,9,4,20,18,16,24,19,8,29,4.653245926
0,2,41,11,3,15,18,18,21,20,11,31,4.653245926
0,5,26,15,4,14,13,22,14,16,9,19,4.653245926
0,4,42,8,4,13,17,21,13,22,8,27,4.653245926
0,4,34,10,3,12,13,24,12,5,8,8,4.653245926
0,6,32,15,5,11,17,19,21,18,10,32,4.653245926
0,2,53,13,4,10,14,18,14,18,9,29,4.653245926
0,3,39,11,5,9,18,15,24,7,7,19,4.653245926
1,3,24,9,4,14,17,17,20,16,10,35,4.653245926
0,5,48,18,4,8,22,10,20,17,10,32,4.653245926
0,2,41,13,5,8,17,NA,14,15,7,22,4.653245926
0,2,38,9,4,14,19,10,22,20,12,32,4.653245926
0,5,47,11,4,12,20,17,25,16,10,26,4.653245926
0,5,41,19,5,12,15,18,18,12,7,31,4.653245926
0,5,37,16,4,11,17,15,17,NA,9,23,4.653245926
0,3,36,15,3,12,18,22,18,15,10,26,4.653245926
0,4,68,12,2,12,13,24,13,22,14,33,4.653245926
0,4,70,10,4,15,20,12,23,17,12,27,4.653245926
0,4,23,5,3,10,16,17,16,11,10,29,4.653245926
0,5,50,18,5,15,17,19,17,19,7,20,4.653245926
0,3,42,18,4,14,18,19,22,20,10,25,4.653245926
0,2,26,18,5,9,17,19,25,18,11,27,4.653245926
0,5,47,14,4,14,19,19,19,17,10,21,4.653245926
0,3,35,19,5,12,13,22,16,17,8,15,4.653245926
0,4,38,14,2,11,16,20,15,9,9,12,4.653245926
0,4,40,21,2,8,14,28,10,11,8,8,4.653245926
0,2,55,9,4,14,19,14,20,19,7,31,4.653245926
0,2,24,20,3,9,15,25,24,25,9,27,4.653245926
1,6,35,8,4,16,17,18,23,21,11,37,4.653245926
